annee;mois;jour;heure;N2aixa;N2aixc;N2cinq;N2plom;N2raba;N2stlo;O3aixa;O3aixp;O3cinq;PCaixa;PCaixc;PCcinq;PCraba;PCstlo;Aix VV
2014;1;3;15;10;20;19;96;44;27;51;60;48;10;14;15;25;20;4.5
2014;1;3;16;11;20;21;100;53;27;48;49;44;13;15;16;26;22;1.7
2014;1;3;17;17;27;33;92;66;27;44;18;32;13;14;19;29;21;2.5
2014;1;3;18;38;26;43;100;53;27;22;24;22;16;15;19;28;20;1.8
2014;1;3;19;40;36;39;96;52;40;15;16;26;22;17;24;23;25;1.8
2014;1;3;20;37;34;36;83;45;36;12;18;25;23;20;23;25;32;0.8
2014;1;3;21;31;33;30;68;29;37;16;15;30;20;20;24;20;25;0
2014;1;3;22;26;27;24;88;23;42;18;23;35;18;18;22;19;26;0.9
2014;1;3;23;14;12;19;57;21;18;35;31;36;15;17;20;16;21;1.4
2014;1;4;0;5;9;16;48;20;13;50;42;40;11;13;15;17;16;2.5
2014;1;4;1;5;5;13;43;24;10;51;45;46;9;13;16;15;15;2.2
2014;1;4;2;6;6;6;32;23;10;60;60;54;7;11;9;11;13;3.9
2014;1;4;3;5;5;6;22;13;8;46;56;56;7;8;9;12;11;4.3
2014;1;4;4;5;4;5;27;8;7;48;58;62;2;6;6;11;10;4.7
2014;1;4;5;5;7;5;30;10;13;47;59;62;5;5;8;16;9;3.4
2014;1;4;6;7;8;10;34;13;16;47;61;58;3;5;8;15;11;1.7
2014;1;4;7;7;14;8;38;17;14;49;62;57;3;6;12;21;13;1.7
2014;1;4;8;9;14;8;50;18;21;47;62;59;4;7;18;16;14;2.3
2014;1;4;9;16;18;12;54;23;23;41;59;55;7;10;17;23;18;4
2014;1;4;10;17;24;14;57;16;18;38;53;52;8;12;20;23;20;2.7
2014;1;4;11;15;17;15;57;17;18;41;53;52;8;13;21;22;23;3.3
2014;1;4;12;17;23;11;45;20;15;36;51;50;13;19;14;23;19;3.7
2014;1;4;13;19;26;12;49;15;15;33;51;53;12;15;17;18;13;2.9
2014;1;4;14;22;28;10;60;15;13;36;53;63;14;16;22;29;20;2.9
2014;1;4;15;18;35;11;54;18;13;50;64;61;16;18;29;30;27;2.9
2014;1;4;16;19;32;18;67;24;17;50;63;55;20;24;27;39;31;3.7
2014;1;4;17;27;30;17;72;16;21;46;65;60;22;21;29;40;30;3.2
2014;1;4;18;28;27;14;51;15;17;46;67;61;24;21;26;41;29;3.5
2014;1;4;19;19;22;13;61;21;14;53;66;63;20;19;30;34;28;3
2014;1;4;20;19;17;12;45;17;13;54;67;67;19;23;36;34;31;4.3
2014;1;4;21;11;15;12;35;19;14;64;71;67;21;26;31;40;33;4.1
2014;1;4;22;11;24;14;38;16;11;49;55;66;26;28;22;32;28;2.1
2014;1;4;23;7;25;10;47;15;8;66;69;79;12;0;7;12;18;4
2014;1;5;0;11;17;14;27;17;11;63;71;73;6;12;6;0;14;1.9
2014;1;5;1;7;10;14;26;16;10;63;76;74;8;12;9;0;11;3.7
2014;1;5;2;3;6;18;24;12;6;87;91;69;5;0;6;0;6;6
2014;1;5;3;2;3;9;19;15;5;89;90;84;5;0;4;0;5;5.2
2014;1;5;4;2;6;13;28;7;8;85;85;78;0;0;4;0;5;5.1
2014;1;5;5;2;4;10;15;5;7;83;85;80;1;3;3;0;6;4.9
2014;1;5;6;2;3;12;20;5;7;82;85;77;3;6;4;0;7;8.3
2014;1;5;7;3;5;11;24;6;6;79;82;77;5;8;4;0;6;6.1
2014;1;5;8;4;6;16;37;6;7;78;78;71;4;6;5;0;7;7.4
2014;1;5;9;4;11;23;54;7;9;78;77;65;4;3;7;0;7;6.1
2014;1;5;10;4;15;18;37;11;10;77;75;72;8;8;10;0;7;7.8
2014;1;5;11;6;16;19;53;15;12;76;77;72;9;8;12;0;9;7.6
2014;1;5;12;6;17;16;48;8;9;75;74;76;7;9;10;0;9;7.5
2014;1;5;13;5;14;12;47;9;11;74;75;79;9;12;7;0;12;5.8
2014;1;5;14;6;17;9;45;9;11;73;74;82;9;14;8;0;14;5.5
2014;1;5;15;7;21;12;48;9;11;71;73;78;8;17;9;0;14;6.1
2014;1;5;16;10;23;16;54;10;12;70;70;73;11;16;12;0;15;4.6
2014;1;5;17;14;28;18;65;28;15;66;71;70;11;18;11;0;14;6.8
2014;1;5;18;19;26;21;88;30;12;63;71;67;11;14;7;0;14;5.9
2014;1;5;19;13;24;25;77;30;18;66;71;62;13;11;11;0;17;3
2014;1;5;20;10;26;21;67;24;10;67;67;65;10;14;11;0;8;4.6
2014;1;5;21;12;30;19;52;18;10;66;56;68;10;9;11;0;8;1.2
2014;1;5;22;46;60;12;44;16;10;27;65;75;14;18;11;0;15;0.6
2014;1;5;23;59;59;14;56;35;13;12;52;71;18;22;10;0;11;0.5
2014;1;6;0;37;33;16;40;41;11;22;47;68;16;19;13;0;10;0.9
2014;1;6;1;28;19;15;43;15;12;31;43;61;16;16;11;0;14;0.9
2014;1;6;2;21;23;33;52;40;16;30;31;41;13;14;14;0;16;1.1
2014;1;6;3;23;23;36;55;50;18;27;40;33;12;12;14;0;13;1
2014;1;6;4;24;24;39;63;43;31;27;42;32;11;8;14;0;11;0.5
2014;1;6;5;23;34;44;101;59;54;33;34;24;8;8;11;0;16;1.2
2014;1;6;6;25;42;50;126;71;65;35;40;22;9;13;16;0;23;0.5
2014;1;6;7;49;44;48;138;100;89;13;21;29;9;13;9;0;44;0.5
2014;1;6;8;73;65;65;177;97;101;3;9;22;13;14;10;0;122;1.1
2014;1;6;9;57;56;45;163;95;75;19;36;42;17;20;9;0;105;0.7
2014;1;6;10;44;52;48;184;93;71;24;42;35;19;17;11;0;63;1.5
2014;1;6;11;49;60;28;124;50;47;22;39;57;27;18;15;0;43;0.9
2014;1;6;12;33;42;14;94;27;23;46;62;72;21;22;9;0;31;0.9
2014;1;6;13;18;25;15;83;32;30;61;78;69;8;14;6;0;25;3.6
2014;1;6;14;15;28;18;112;36;34;61;76;67;11;14;10;0;36;3.2
2014;1;6;15;18;30;27;94;30;31;58;74;60;13;20;10;0;31;2.7
2014;1;6;16;32;56;26;105;40;34;45;71;64;13;23;8;0;26;1.9
2014;1;6;17;43;57;26;104;30;34;32;63;60;17;24;11;0;21;2.2
2014;1;6;18;23;34;29;106;28;32;47;42;50;17;24;13;0;21;1.1
2014;1;6;19;24;25;22;100;47;26;45;17;59;15;21;11;0;18;3.1
2014;1;6;20;14;19;19;88;52;58;61;63;62;11;16;15;0;22;3.2
2014;1;6;21;10;16;17;64;21;37;64;41;62;12;18;11;0;33;0
2014;1;6;22;12;7;17;72;15;28;59;24;63;12;14;13;0;24;2.2
2014;1;6;23;18;8;12;66;28;31;44;24;68;13;12;11;0;17;1.1
2014;1;7;0;10;5;9;36;16;26;59;23;69;14;7;8;0;14;1.1
2014;1;7;1;5;4;4;27;14;13;67;22;75;11;10;11;0;10;1.8
2014;1;7;2;9;6;8;35;13;10;51;25;68;11;9;8;0;9;2.7
2014;1;7;3;12;16;9;32;18;18;41;23;65;9;9;11;0;10;1
2014;1;7;4;11;15;8;59;20;30;37;22;65;14;10;9;0;13;0
2014;1;7;5;19;17;12;77;39;31;29;17;59;14;13;10;0;16;0
2014;1;7;6;17;15;17;109;61;40;42;17;58;12;13;10;0;17;1.7
2014;1;7;7;46;47;30;118;72;56;12;18;47;13;12;11;0;21;1.5
2014;1;7;8;38;62;34;111;66;58;35;14;44;16;19;14;0;29;1
2014;1;7;9;0;34;28;102;68;47;0;30;51;0;21;15;0;30;2
2014;1;7;10;0;29;25;93;49;44;0;37;53;0;16;17;0;29;3.1
2014;1;7;11;15;35;22;117;49;34;51;60;55;0;11;15;0;28;2.4
2014;1;7;12;10;20;25;89;39;30;55;70;53;0;12;17;0;23;3.7
2014;1;7;13;11;0;20;97;37;28;58;67;57;0;0;17;0;19;3.5
2014;1;7;14;11;25;22;133;35;34;56;66;57;0;0;16;0;21;3.5
2014;1;7;15;14;25;22;129;58;32;54;63;57;0;0;18;0;25;2.6
2014;1;7;16;16;26;29;114;68;37;53;61;52;0;0;19;0;28;3.5
2014;1;7;17;18;28;30;121;65;41;52;60;51;0;0;17;0;28;2.8
2014;1;7;18;18;25;28;124;64;47;53;54;57;0;0;19;0;25;3.8
2014;1;7;19;19;28;25;103;34;46;53;51;56;18;0;17;0;23;3.1
2014;1;7;20;18;18;21;90;26;33;49;52;58;19;21;18;0;24;2.9
2014;1;7;21;13;14;15;86;13;27;51;31;64;21;27;17;0;23;2.2
2014;1;7;22;13;13;14;68;14;24;52;18;64;18;22;19;0;20;2.1
2014;1;7;23;16;23;14;77;14;27;49;16;68;16;18;20;0;22;1.7
2014;1;8;0;19;31;10;48;11;18;32;15;70;14;17;18;0;18;1.1
2014;1;8;1;15;15;6;32;7;13;35;22;77;16;16;18;0;19;0.9
2014;1;8;2;9;12;6;20;3;9;50;32;77;18;15;14;0;17;0.7
2014;1;8;3;16;17;8;34;4;12;26;27;77;16;18;17;0;17;0
2014;1;8;4;8;14;6;94;8;19;33;15;72;16;16;16;0;18;0
2014;1;8;5;13;20;13;101;38;33;29;15;63;13;14;17;0;22;0.8
2014;1;8;6;17;25;25;97;54;36;25;14;52;12;14;16;0;18;0.5
2014;1;8;7;43;44;43;126;64;64;3;6;37;13;16;19;0;21;0.5
2014;1;8;8;78;55;44;156;76;72;1;4;40;19;23;20;0;28;0.9
2014;1;8;9;53;50;39;121;59;67;8;7;47;28;35;22;0;42;1.5
2014;1;8;10;42;47;39;129;58;55;12;31;49;28;33;25;0;43;1.5
2014;1;8;11;38;51;29;101;48;45;26;65;61;36;31;26;0;37;1.7
2014;1;8;12;25;32;17;86;38;38;52;76;78;0;34;23;0;35;1.5
2014;1;8;13;15;25;14;87;32;22;63;76;81;33;20;20;0;31;2.4
2014;1;8;14;19;32;15;90;43;27;63;77;81;27;20;18;0;31;2.1
2014;1;8;15;22;36;20;108;40;27;60;77;77;23;23;20;0;34;3
2014;1;8;16;26;53;29;129;65;43;54;68;68;25;26;24;0;34;1.7
2014;1;8;17;32;65;29;132;71;51;41;30;68;25;32;22;0;36;1.9
2014;1;8;18;63;67;26;129;44;68;15;9;69;29;39;21;0;35;1.6
2014;1;8;19;72;71;23;120;37;72;8;8;68;37;40;20;0;42;1.2
2014;1;8;20;68;53;25;103;40;53;1;10;65;44;39;23;0;39;0
2014;1;8;21;60;47;17;77;33;35;2;8;71;46;35;23;0;28;0.8
2014;1;8;22;50;42;12;78;64;36;5;4;74;40;32;16;0;26;0.7
2014;1;8;23;21;33;12;61;59;27;25;5;71;35;29;21;0;24;0
2014;1;9;0;13;18;11;55;40;25;29;13;70;23;22;15;0;21;1.2
2014;1;9;1;8;8;7;42;35;15;32;25;75;14;14;16;0;16;0.5
2014;1;9;2;4;10;7;30;18;13;33;33;74;13;12;15;0;16;0.7
2014;1;9;3;6;18;13;27;16;33;30;35;58;16;13;15;0;16;1.4
2014;1;9;4;8;14;19;51;21;21;26;31;40;17;14;20;0;20;0.6
2014;1;9;5;7;11;20;80;40;22;28;27;43;17;13;16;0;20;1.9
2014;1;9;6;13;16;28;92;57;42;23;26;41;16;13;17;0;21;1.9
2014;1;9;7;25;41;36;109;76;61;11;26;35;13;16;16;0;26;0.9
2014;1;9;8;37;40;50;118;86;70;5;19;21;15;21;16;0;36;1.6
2014;1;9;9;34;46;42;108;81;59;14;16;36;23;18;16;0;40;1.5
2014;1;9;10;34;42;53;124;73;54;14;10;24;17;24;21;0;42;1.4
2014;1;9;11;30;41;43;118;0;44;20;14;35;28;22;26;0;40;1.6
2014;1;9;12;23;41;23;99;0;36;47;62;68;30;25;25;0;30;1.1
2014;1;9;13;21;36;11;79;46;24;56;61;81;20;21;14;0;27;0
2014;1;9;14;29;62;12;0;47;30;50;48;80;15;19;12;39;45;1
2014;1;9;15;47;77;16;104;72;35;32;46;75;24;23;16;43;44;0
2014;1;9;16;64;88;31;141;100;43;9;0;60;35;33;18;28;45;0.6
2014;1;9;17;94;113;44;153;111;56;2;9;45;54;49;20;27;56;1
2014;1;9;18;99;113;69;138;124;69;1;12;23;74;59;16;48;61;1.3
2014;1;9;19;90;108;83;123;114;64;2;9;11;58;66;47;61;44;0.6
2014;1;9;20;102;99;74;107;118;46;2;9;11;53;76;53;86;36;0
2014;1;9;21;62;51;68;93;102;32;0;8;11;70;59;50;71;30;0.5
2014;1;9;22;55;51;59;92;93;38;0;5;19;50;43;49;50;31;0
2014;1;9;23;53;45;48;80;82;32;1;4;31;47;37;37;44;33;0.5
2014;1;10;0;51;38;41;63;68;25;2;4;32;44;33;32;42;26;0.5
2014;1;10;1;47;34;30;57;55;38;6;6;39;41;32;29;42;25;0
2014;1;10;2;40;37;23;52;46;49;6;10;43;33;31;23;35;28;0.5
2014;1;10;3;41;33;27;81;40;42;1;10;40;33;28;23;35;28;0
2014;1;10;4;38;37;34;81;43;42;0;8;29;36;26;25;32;28;0
2014;1;10;5;37;29;42;89;57;37;2;11;26;38;26;23;34;27;0
2014;1;10;6;41;35;55;94;73;66;4;4;17;28;25;23;46;28;0
2014;1;10;7;58;60;63;135;92;80;1;3;13;34;24;29;65;40;0
2014;1;10;8;78;66;73;124;109;79;0;3;10;42;35;32;88;60;0
2014;1;10;9;68;54;69;129;94;92;4;4;13;42;38;37;88;77;0
2014;1;10;10;40;48;71;116;87;69;16;28;19;39;0;54;92;94;0.6
2014;1;10;11;42;68;43;152;80;53;38;49;50;33;0;46;98;72;0.7
2014;1;10;12;45;66;51;123;74;43;45;54;44;25;43;35;60;52;1
2014;1;10;13;30;62;28;118;67;44;60;58;70;27;34;32;50;51;1.1
2014;1;10;14;35;74;33;128;63;34;52;56;68;27;38;28;48;51;0.8
2014;1;10;15;46;71;35;126;87;34;40;45;68;31;44;25;34;40;1.1
2014;1;10;16;66;99;21;132;87;48;24;37;80;38;46;19;31;46;1.6
2014;1;10;17;93;107;24;136;99;51;3;16;71;56;55;17;32;64;1.3
2014;1;10;18;92;115;27;166;63;60;2;14;66;61;61;20;30;56;0
2014;1;10;19;78;106;25;114;53;40;8;15;70;57;69;20;28;46;0
2014;1;10;20;73;94;26;114;59;25;1;13;70;66;77;20;25;34;0
2014;1;10;21;61;64;17;92;42;24;3;15;77;66;64;15;28;27;0.5
2014;1;10;22;59;64;21;84;46;22;2;16;74;61;46;14;22;25;0.6
2014;1;10;23;57;58;20;80;54;30;4;19;69;52;41;17;23;27;0.6
2014;1;11;0;39;45;15;68;41;25;15;45;74;43;36;20;23;26;0.8
2014;1;11;1;33;36;12;53;25;22;25;51;78;37;31;20;19;22;1
2014;1;11;2;13;19;9;44;29;15;51;65;77;25;23;18;19;20;1.3
2014;1;11;3;17;20;9;39;37;13;40;65;73;22;21;17;19;20;1.6
2014;1;11;4;13;13;8;47;38;17;47;53;74;21;19;15;18;20;1
2014;1;11;5;12;21;8;63;30;23;50;55;74;20;16;15;19;21;0.5
2014;1;11;6;11;16;12;71;29;21;51;54;70;19;18;15;15;38;1.8
2014;1;11;7;17;31;14;87;55;32;39;39;69;20;20;16;22;30;1.5
2014;1;11;8;24;30;39;92;67;47;39;20;41;22;21;18;26;29;1.2
2014;1;11;9;17;35;25;102;45;35;54;44;55;21;22;20;26;28;1.3
2014;1;11;10;18;30;26;103;53;26;58;72;53;20;21;20;29;26;1
2014;1;11;11;16;28;25;104;53;29;64;72;55;15;17;23;29;26;2.3
2014;1;11;12;19;36;26;95;47;30;58;71;57;20;19;26;30;28;2.5
2014;1;11;13;18;34;17;106;44;21;56;66;66;24;20;24;26;28;1.6
2014;1;11;14;11;34;16;105;43;15;60;54;71;22;20;21;29;24;1.5
2014;1;11;15;23;41;20;102;62;32;46;37;66;17;20;23;31;26;0.7
2014;1;11;16;32;29;33;106;63;43;24;37;55;26;24;22;32;37;0.8
2014;1;11;17;47;40;45;117;62;50;9;16;42;36;27;23;28;41;0.6
2014;1;11;18;51;51;53;110;63;71;8;5;32;44;40;25;29;44;0
2014;1;11;19;47;53;64;107;90;76;9;5;13;46;43;38;40;54;0
2014;1;11;20;57;40;53;88;105;57;2;6;12;48;39;54;65;56;0.8
2014;1;11;21;53;47;51;82;87;52;1;5;11;54;42;46;86;60;0
2014;1;11;22;54;47;45;78;73;46;2;4;12;52;47;44;85;54;0
2014;1;11;23;42;40;45;92;58;46;5;9;10;55;42;43;69;49;0
2014;1;12;0;33;35;42;66;53;50;11;5;11;37;33;48;66;41;0
2014;1;12;1;22;31;37;60;54;0;23;4;20;31;27;39;54;36;0
2014;1;12;2;20;23;15;50;49;44;26;11;40;24;25;28;43;33;0
2014;1;12;3;14;20;16;40;43;44;29;22;42;21;23;22;34;32;0
2014;1;12;4;8;13;21;42;37;40;36;27;34;17;20;22;27;30;1.1
2014;1;12;5;8;14;23;46;41;37;37;27;32;16;18;21;27;25;0.7
2014;1;12;6;10;15;21;56;42;42;37;30;35;12;17;19;29;28;0
2014;1;12;7;13;15;23;53;40;48;35;35;33;12;19;22;26;35;0
2014;1;12;8;16;17;25;60;49;53;29;31;33;16;18;19;24;37;0.9
2014;1;12;9;16;22;30;58;57;54;28;24;28;17;17;22;26;31;0.9
2014;1;12;10;16;22;30;73;52;41;29;26;30;19;18;30;31;33;1.3
2014;1;12;11;16;30;27;83;59;22;30;31;43;22;26;32;37;25;1
2014;1;12;12;22;23;13;77;45;18;24;32;65;27;27;24;32;24;1.5
2014;1;12;13;16;29;20;76;36;34;37;42;60;27;24;18;25;29;0.9
2014;1;12;14;14;28;30;75;34;32;43;48;52;25;21;24;25;31;0.6
2014;1;12;15;17;29;29;81;50;37;39;48;52;24;20;24;25;35;1.1
2014;1;12;16;36;33;33;112;59;35;24;35;48;30;20;24;29;29;1.1
2014;1;12;17;48;44;47;99;55;44;11;21;32;45;36;27;27;29;0
2014;1;12;18;70;77;56;130;57;59;2;16;27;61;45;28;32;37;0.5
2014;1;12;19;65;66;46;117;74;71;2;15;34;63;59;24;33;45;0
2014;1;12;20;53;56;62;97;75;73;3;18;20;60;61;26;53;52;0.7
2014;1;12;21;39;49;50;93;76;74;11;25;29;49;54;27;54;61;0
2014;1;12;22;33;46;64;95;70;59;14;27;12;39;44;51;58;59;0.6
2014;1;12;23;43;40;59;61;65;50;4;18;11;37;38;67;64;57;0
2014;1;13;0;46;33;54;56;62;49;1;10;10;36;37;60;63;57;0
2014;1;13;1;45;36;48;53;57;0;1;15;11;41;39;58;60;0;0.6
2014;1;13;2;41;37;38;45;53;0;0;12;12;50;46;57;59;0;1.3
2014;1;13;3;38;36;35;42;48;0;0;11;13;43;44;44;55;0;0
2014;1;13;4;25;30;40;53;42;0;7;13;9;37;40;42;49;0;0
2014;1;13;5;26;25;41;81;50;0;9;14;10;30;34;47;48;0;0.5
2014;1;13;6;33;34;43;130;65;0;4;6;9;26;36;49;58;0;0
2014;1;13;7;40;47;46;101;58;0;0;5;10;30;39;47;68;0;0
2014;1;13;8;62;43;40;111;96;0;1;4;10;35;43;46;72;0;0.8
2014;1;13;9;67;62;48;99;85;0;6;13;12;55;48;52;95;0;1.4
2014;1;13;10;47;54;46;94;85;0;16;23;14;0;50;56;94;0;1.3
2014;1;13;11;33;51;50;89;82;0;17;20;20;0;50;57;83;0;0.6
2014;1;13;12;24;43;42;102;67;0;31;29;36;77;46;45;65;0;0.9
2014;1;13;13;38;67;28;103;67;0;17;33;54;62;48;26;58;0;1.1
2014;1;13;14;59;74;39;111;54;0;4;10;46;46;51;26;43;0;0.6
2014;1;13;15;33;53;44;109;64;0;22;31;34;45;45;26;29;0;0.6
2014;1;13;16;48;58;41;125;111;0;11;12;33;49;34;29;26;0;1
2014;1;13;17;51;54;35;118;93;0;1;10;36;38;31;24;37;0;1.1
2014;1;13;18;44;54;42;100;104;0;2;24;28;33;25;23;34;0;0.8
2014;1;13;19;41;40;48;113;90;0;19;43;21;27;23;19;31;0;0.6
2014;1;13;20;23;27;58;86;88;0;28;38;10;18;18;27;32;0;1.3
2014;1;13;21;25;23;48;70;72;0;23;35;14;15;14;35;39;0;1.3
2014;1;13;22;19;24;28;49;34;0;27;32;29;15;17;32;34;0;0
2014;1;13;23;9;10;14;42;33;0;42;46;48;11;15;11;16;0;3.3
2014;1;14;0;9;11;15;40;30;0;41;45;45;7;14;7;9;0;1.5
2014;1;14;1;11;18;16;41;17;0;31;38;43;7;16;12;7;0;1.6
2014;1;14;2;15;18;14;32;19;0;23;29;47;10;15;11;1;0;0
2014;1;14;3;8;14;10;36;13;0;35;40;55;11;13;9;5;0;0.7
2014;1;14;4;9;14;16;41;18;0;39;48;47;8;10;7;7;0;1.7
2014;1;14;5;11;25;21;67;32;0;36;46;43;12;9;7;8;0;1
2014;1;14;6;37;54;34;106;43;0;12;38;28;9;9;7;12;0;0.7
2014;1;14;7;58;79;57;114;71;0;1;24;12;17;13;9;15;0;0
2014;1;14;8;75;89;61;105;68;0;1;15;12;18;22;16;24;0;0.7
2014;1;14;9;67;81;55;134;66;0;1;12;20;24;25;21;41;0;0
2014;1;14;10;54;72;33;120;50;0;9;19;36;23;26;18;47;0;0.6
2014;1;14;11;35;54;32;125;45;0;25;27;44;19;28;17;37;0;1.4
2014;1;14;12;24;52;26;114;47;0;47;42;56;17;25;17;28;0;1.1
2014;1;14;13;20;48;30;115;39;36;52;58;54;16;26;23;21;30;2.8
2014;1;14;14;20;44;34;124;51;30;53;58;52;16;29;22;26;45;2.6
2014;1;14;15;25;55;36;121;47;34;47;52;50;17;29;22;30;39;2.8
2014;1;14;16;36;69;39;144;60;34;34;40;48;19;34;20;29;36;2.2
2014;1;14;17;58;77;43;137;61;50;13;22;37;22;34;15;25;32;1.8
2014;1;14;18;51;64;58;150;60;49;16;31;23;21;31;21;17;28;1.4
2014;1;14;19;52;76;58;122;54;47;9;21;19;28;41;20;16;21;1.6
2014;1;14;20;51;65;58;98;68;53;7;17;15;29;43;18;18;20;0.7
2014;1;14;21;24;38;48;76;71;52;32;29;20;24;29;18;24;21;2.3
2014;1;14;22;23;39;39;66;50;45;28;37;25;18;22;19;23;27;2.2
2014;1;14;23;30;36;34;58;35;25;21;30;30;21;19;16;18;19;4.8
2014;1;15;0;17;27;15;36;19;9;49;58;64;20;12;11;13;9;2.2
2014;1;15;1;13;26;8;27;12;8;55;59;73;11;7;2;7;8;1.3
2014;1;15;2;5;9;8;23;12;9;65;55;71;9;6;4;6;8;1.9
2014;1;15;3;6;12;8;26;12;9;63;59;68;9;9;9;8;10;3.2
2014;1;15;4;20;27;12;43;18;11;35;57;60;8;15;11;7;8;0.6
