annee;mois;jour;heure;val_PM10;VV10.x;VV10.y
2014;11;6;0;9;6.56;5.43
2014;11;6;1;10;7.15;6.52
2014;11;6;2;9;7.47;6.57
2014;11;6;3;9;7.71;6.43
2014;11;6;4;10;7.87;6.52
2014;11;6;5;11;8.32;8.1
2014;11;6;6;13;8.12;8.02
2014;11;6;7;14;8.06;7.55
2014;11;6;8;18;7.94;7.75
2014;11;6;9;16;7.83;7.39
2014;11;6;10;0;0;0
2014;11;6;11;0;0;0
2014;11;6;12;0;0;0
2014;11;6;13;0;0;0
2014;11;6;14;0;0;0
2014;11;6;15;0;0;0
2014;11;6;16;0;0;0
2014;11;6;17;0;0;0
2014;11;6;18;0;0;0
2014;11;6;19;0;0;0
2014;11;6;20;0;0;0
2014;11;6;21;0;0;0
2014;11;6;22;0;0;0
2014;11;6;23;0;0;0
2014;11;7;0;0;0;0
2014;11;7;1;0;0;0
2014;11;7;2;0;0;0
2014;11;7;3;0;0;0
2014;11;7;4;0;0;0
2014;11;7;5;0;0;0
2014;11;7;6;13;3.48;3.77
2014;11;7;7;18;3.77;3.07
2014;11;7;8;22;3.65;1.96
2014;11;7;9;26;3.22;2.32
2014;11;7;10;26;2.67;1.73
2014;11;7;11;35;2.21;2.2
2014;11;7;12;25;2.65;3.03
2014;11;7;13;24;4.57;3.23
2014;11;7;14;23;5.56;4.31
2014;11;7;15;22;6.33;4.81
2014;11;7;16;20;6.46;5.75
2014;11;7;17;16;7.02;5.46
2014;11;7;18;27;6.77;4.99
2014;11;7;19;27;7;5.1
2014;11;7;20;29;6.6;4.75
2014;11;7;21;29;7.19;4.8
2014;11;7;22;22;7.06;5.38
2014;11;7;23;18;7.74;4.59
2014;11;8;0;13;7.95;5.21
2014;11;8;1;12;7.54;4.41
2014;11;8;2;14;7.4;3.98
2014;11;8;3;13;7.4;3.55
2014;11;8;4;11;7.29;3.57
2014;11;8;5;11;7.78;3.71
2014;11;8;6;11;7.41;3.46
2014;11;8;7;14;6.75;2.77
2014;11;8;8;15;5.59;2.54
2014;11;8;9;17;3.83;1.89
2014;11;8;10;25;2.91;2.25
2014;11;8;11;20;3.44;2.66
2014;11;8;12;20;2.94;2.51
2014;11;8;13;20;3.11;2
2014;11;8;14;17;3.56;1.18
2014;11;8;15;16;1.99;0.82
2014;11;8;16;22;0.59;1.26
2014;11;8;17;32;0.97;2.25
2014;11;8;18;37;1.48;2.91
2014;11;8;19;62;2.53;2.8
2014;11;8;20;45;3.19;2.68
2014;11;8;21;25;3.67;3.53
2014;11;8;22;20;3.98;4.23
2014;11;8;23;14;4.16;4.05
2014;11;9;0;8;6.3;4.31
2014;11;9;1;11;6.45;4.66
2014;11;9;2;9;6.94;5.38
2014;11;9;3;5;7.56;5.77
2014;11;9;4;4;8.91;5.85
2014;11;9;5;5;9.62;8.05
2014;11;9;6;6;8.69;7.42
2014;11;9;7;7;7.85;6.28
2014;11;9;8;6;7.09;6.78
2014;11;9;9;7;7.68;5.32
2014;11;9;10;6;8.43;6.69
2014;11;9;11;4;8.07;5.99
2014;11;9;12;6;8.36;6.71
2014;11;9;13;6;7.41;6
2014;11;9;14;5;8.31;6.79
2014;11;9;15;1;8.25;7.41
2014;11;9;16;5;8.69;7.01
2014;11;9;17;9;8.24;7.68
2014;11;9;18;9;7.52;6.38
2014;11;9;19;15;8.29;5.66
2014;11;9;20;18;7.39;4.81
2014;11;9;21;28;8.01;5.8
2014;11;9;22;37;2.68;3.28
2014;11;9;23;38;2.4;2.7
2014;11;10;0;34;9.11;5.34
2014;11;10;1;19;2.36;2.33
2014;11;10;2;14;2.62;2.85
2014;11;10;3;14;2.14;1.37
2014;11;10;4;10;1.28;0.58
2014;11;10;5;11;2.81;0.54
2014;11;10;6;10;2.57;1.3
2014;11;10;7;10;2.13;1.65
2014;11;10;8;10;1.5;2.04
2014;11;10;9;9;1.88;0.41
2014;11;10;10;10;1.47;1.18
2014;11;10;11;12;2.73;1.58
2014;11;10;12;11;2.55;0.65
2014;11;10;13;6;2.62;1.61
2014;11;10;14;12;2.17;2.08
2014;11;10;15;11;1.36;1.52
2014;11;10;16;11;1.21;1.73
2014;11;10;17;19;1.24;1.85
2014;11;10;18;29;2.99;1.6
2014;11;10;19;24;4.56;1.6
2014;11;10;20;25;4.42;2.07
2014;11;10;21;15;2.55;2.67
2014;11;10;22;12;2.53;2.62
2014;11;10;23;10;4.08;2.82
2014;11;11;0;36;2.25;1.65
2014;11;11;1;33;2.24;0.68
2014;11;11;2;30;2.51;0.89
2014;11;11;3;31;2.18;1.72
2014;11;11;4;25;1.82;1.97
2014;11;11;5;27;1.8;2.09
2014;11;11;6;30;1.46;1.96
2014;11;11;7;30;0.77;1.27
2014;11;11;8;35;0.4;0.97
2014;11;11;9;54;0.47;0.69
2014;11;11;10;9;7.6;6.86
2014;11;11;11;9;8.79;7.1
2014;11;11;12;9;7.4;7.64
2014;11;11;13;11;6.17;7.32
2014;11;11;14;6;8.32;6.35
2014;11;11;15;6;6.78;6.65
2014;11;11;16;5;5.21;4.57
2014;11;11;17;6;4.61;3.68
2014;11;11;18;8;3.84;3.21
2014;11;11;19;12;2.6;3.84
2014;11;11;20;12;2.62;3.21
2014;11;11;21;14;2.37;3.66
2014;11;11;22;8;2.39;2.82
2014;11;11;23;6;2.84;2.51
2014;11;12;0;68;1.48;1.27
2014;11;12;1;59;1.83;1.38
2014;11;12;2;63;1.99;1.92
2014;11;12;3;60;2.3;2.25
2014;11;12;4;5;3.19;2.9
2014;11;12;5;5;2.43;2.15
2014;11;12;6;6;2.24;3.69
2014;11;12;7;9;2.86;2.13
2014;11;12;8;10;2.45;2.2
2014;11;12;9;11;2.59;2.03
2014;11;12;10;9;2.5;2.1
2014;11;12;11;10;3.01;3.08
2014;11;12;12;8;2.35;3.33
2014;11;12;13;5;2.88;3.83
2014;11;12;14;7;3.97;5.81
2014;11;12;15;10;6.06;6.33
2014;11;12;16;10;6.26;6.27
2014;11;12;17;9;6.34;6.65
2014;11;12;18;8;7.09;6.67
2014;11;12;19;9;7.68;6.32
2014;11;12;20;10;7.76;5.35
2014;11;12;21;8;7.71;4.95
2014;11;12;22;8;7.94;5.59
2014;11;12;23;10;7.96;5.75
2014;11;13;0;9;8.79;6.37
2014;11;13;1;8;7.69;5.22
2014;11;13;2;8;7.74;4.47
2014;11;13;3;7;7.46;4.87
2014;11;13;4;7;7.49;4.98
2014;11;13;5;6;8.33;5.54
2014;11;13;6;5;8.25;4.45
2014;11;13;7;5;7.19;3.61
2014;11;13;8;10;7.05;4.19
2014;11;13;9;29;6.89;4.04
2014;11;13;10;20;6.52;3.35
2014;11;13;11;15;5.7;2.04
2014;11;13;12;16;4.78;2.41
2014;11;13;13;13;4.86;2.33
2014;11;13;14;12;4.76;1.18
2014;11;13;15;13;3.76;0.89
2014;11;13;16;14;2.08;0.98
2014;11;13;17;21;2.04;2.14
2014;11;13;18;28;2.38;2.44
2014;11;13;19;38;1.84;2.63
2014;11;13;20;36;1.9;2.6
2014;11;13;21;39;2.57;2.8
2014;11;13;22;32;2.87;3.34
2014;11;13;23;28;4.05;3.75
2014;11;14;0;16;4.34;4.19
2014;11;14;1;13;4.96;4.43
2014;11;14;2;11;5.44;4.76
2014;11;14;3;13;6.03;4.66
2014;11;14;4;11;6.47;5.05
2014;11;14;5;10;6.56;5.49
2014;11;14;6;9;7.62;5.45
2014;11;14;7;10;8.28;6.65
2014;11;14;8;11;8.86;7.53
2014;11;14;9;11;9.48;8.17
2014;11;14;10;12;9.98;9.62
2014;11;14;11;17;9.94;10.24
2014;11;14;12;11;10.33;9.58
2014;11;14;13;11;7.77;9.89
2014;11;14;14;12;8.7;8.25
2014;11;14;15;13;8.64;8.42
2014;11;14;16;12;7.82;8.31
2014;11;14;17;13;7.79;8.37
2014;11;14;18;12;7.94;8.49
2014;11;14;19;8;8.45;8.95
2014;11;14;20;9;9.24;8.96
2014;11;14;21;14;9.38;9.81
2014;11;14;22;14;7.63;10.55
2014;11;14;23;17;8.35;8.59
2014;11;15;0;19;7.89;5.93
2014;11;15;1;21;6.39;2.19
2014;11;15;2;21;5.46;1.87
2014;11;15;3;22;1.47;3.37
2014;11;15;4;23;1.04;3.07
2014;11;15;5;22;8.64;2.55
2014;11;15;6;23;7.93;2.58
2014;11;15;7;21;5.31;3.05
2014;11;15;8;21;5.69;2.9
2014;11;15;9;28;5.98;3.92
2014;11;15;10;20;4.85;3.79
2014;11;15;11;16;2.89;2.81
2014;11;15;12;14;2.69;1.25
2014;11;15;13;17;2.01;1.19
2014;11;15;14;12;2.76;3.49
2014;11;15;15;8;3.39;3.2
2014;11;15;16;6;3.61;3.66
2014;11;15;17;9;3.7;3.36
2014;11;15;18;10;3.58;2.21
2014;11;15;19;17;2.87;2.76
2014;11;15;20;32;3.01;3.7
2014;11;15;21;37;3.49;3.01
2014;11;15;22;48;2.69;2.03
2014;11;15;23;51;2.9;2.53
2014;11;16;0;51;2.73;1.31
2014;11;16;1;29;2.69;1.59
2014;11;16;2;17;2.9;0.85
2014;11;16;3;18;2.38;0.3
2014;11;16;4;14;1.82;1.14
2014;11;16;5;14;2.64;1.49
2014;11;16;6;12;3.35;1.43
2014;11;16;7;8;3.57;2.14
2014;11;16;8;9;3.74;1.15
2014;11;16;9;14;3.42;1.11
2014;11;16;10;14;3.12;1.51
2014;11;16;11;11;3.14;1.23
2014;11;16;12;7;2.87;1.04
2014;11;16;13;8;2.93;1.72
2014;11;16;14;6;2.67;2.55
2014;11;16;15;10;2.17;2.81
2014;11;16;16;12;1.57;2.53
2014;11;16;17;9;2.24;1.81
2014;11;16;18;17;2.58;1.67
2014;11;16;19;35;2.82;2.18
2014;11;16;20;37;2.11;2.62
2014;11;16;21;26;1.8;2.25
2014;11;16;22;23;3.35;2.57
2014;11;16;23;9;4.25;2.93
2014;11;17;0;14;3.27;4.38
2014;11;17;1;12;1.33;1.35
2014;11;17;2;11;2.23;1.39
2014;11;17;3;9;3.08;1.26
2014;11;17;4;9;4.03;3.47
2014;11;17;5;9;3.79;4.79
2014;11;17;6;10;3.68;3.39
2014;11;17;7;10;3.52;2.67
2014;11;17;8;13;3.76;2.23
2014;11;17;9;13;3.62;1.22
2014;11;17;10;13;3.06;2.19
2014;11;17;11;10;3.4;3.18
2014;11;17;12;10;4.38;3.64
2014;11;17;13;9;5.03;3.61
2014;11;17;14;9;5.17;3.68
2014;11;17;15;8;4.53;4.11
2014;11;17;16;8;3.94;3.58
2014;11;17;17;12;3.61;4.06
2014;11;17;18;16;4.04;3.42
2014;11;17;19;23;4.23;3.35
2014;11;17;20;23;4.65;3.29
2014;11;17;21;14;4.38;1.73
2014;11;17;22;10;4.54;0.81
2014;11;17;23;10;3.83;1.29
2014;11;18;0;9;4.92;1.86
2014;11;18;1;8;4.19;2.1
2014;11;18;2;6;4.8;2.4
2014;11;18;3;5;4.56;2.38
2014;11;18;4;6;5.26;2.73
2014;11;18;5;5;4.54;1.9
2014;11;18;6;15;5.39;1.08
2014;11;18;7;16;4.9;0.57
2014;11;18;8;39;3.71;0.85
2014;11;18;9;43;3.97;1.8
2014;11;18;10;33;3.55;2.06
2014;11;18;11;15;3.19;3.55
2014;11;18;12;19;6.75;4.08
2014;11;18;13;20;6.72;4.81
2014;11;18;14;17;5.99;4.96
2014;11;18;15;15;5.55;4.67
2014;11;18;16;18;5.01;3.83
2014;11;18;17;15;4.27;3.23
2014;11;18;18;16;3.3;2.9
2014;11;18;19;30;4.62;2.06
2014;11;18;20;46;4.47;2.29
2014;11;18;21;43;3.56;1.85
2014;11;18;22;42;3.2;1.81
2014;11;18;23;45;2.73;1.91
2014;11;19;0;44;3.7;3.05
2014;11;19;1;37;3.08;2.91
2014;11;19;2;27;3.16;2.87
2014;11;19;3;23;3.74;3.17
2014;11;19;4;17;4.39;3.5
2014;11;19;5;11;4.23;3.78
2014;11;19;6;14;4.76;3.53
2014;11;19;7;16;4.99;3.54
2014;11;19;8;31;5.12;3.2
2014;11;19;9;39;4.45;3.17
2014;11;19;10;31;3.58;3.38
2014;11;19;11;26;2.46;2.58
2014;11;19;12;26;0.33;1.17
2014;11;19;13;20;1.51;0.34
2014;11;19;14;11;1.66;0.96
2014;11;19;15;15;1.76;1.42
2014;11;19;16;18;1.02;0.94
2014;11;19;17;21;0.36;1.16
2014;11;19;18;31;1.03;1.55
2014;11;19;19;45;2.59;2.19
2014;11;19;20;40;2.89;2.97
2014;11;19;21;44;3.09;3.38
2014;11;19;22;33;3.38;3.69
2014;11;19;23;22;4.24;3.74
2014;11;20;0;19;4.36;3.91
2014;11;20;1;20;4.55;3.9
2014;11;20;2;9;4.84;4.06
2014;11;20;3;11;5.01;4.21
2014;11;20;4;10;4.86;4.16
2014;11;20;5;8;4.76;3.92
2014;11;20;6;9;5.01;3.82
2014;11;20;7;10;5.38;3.83
2014;11;20;8;14;5.63;3.81
2014;11;20;9;17;6.1;3.54
2014;11;20;10;21;5.94;3.35
2014;11;20;11;23;6.08;3.21
2014;11;20;12;23;6.34;4.48
2014;11;20;13;23;6.1;4.62
2014;11;20;14;20;5.99;4.06
2014;11;20;15;18;5.42;3.71
2014;11;20;16;19;5.37;2.9
2014;11;20;17;31;5.43;2.7
2014;11;20;18;47;4.55;2.98
2014;11;20;19;58;4.46;3.14
2014;11;20;20;43;4.89;3.2
2014;11;20;21;45;4.52;3.25
2014;11;20;22;41;4.53;3.51
2014;11;20;23;37;4.11;3.7
2014;11;21;0;21;2.02;2.46
2014;11;21;1;17;2.77;2.93
2014;11;21;2;19;3.56;3.62
2014;11;21;3;19;3.87;4.57
2014;11;21;4;18;4.19;5.02
2014;11;21;5;18;4.56;5.35
2014;11;21;6;23;5.08;5.17
2014;11;21;7;28;5.27;4.57
2014;11;21;8;20;5.02;4.87
2014;11;21;9;30;5.04;4.19
2014;11;21;10;30;5.27;2.93
2014;11;21;11;28;5.6;2.55
2014;11;21;12;22;5.72;2.54
2014;11;21;13;15;5.82;3.18
2014;11;21;14;15;5.68;3.29
2014;11;21;15;15;5.44;2.97
2014;11;21;16;17;5.36;1.65
2014;11;21;17;20;4.53;2.85
2014;11;21;18;25;4.89;3.12
2014;11;21;19;28;5.31;2.84
2014;11;21;20;26;5.66;2.88
2014;11;21;21;24;5.85;2.86
2014;11;21;22;23;6.18;3.27
2014;11;21;23;18;6.39;3.55
2014;11;22;0;33;5.35;4.54
2014;11;22;1;26;5.19;4.57
2014;11;22;2;23;6.42;4.79
2014;11;22;3;19;6.4;5.23
2014;11;22;4;14;6.24;3.63
2014;11;22;5;16;6.5;2.62
2014;11;22;6;15;6.97;2.75
2014;11;22;7;17;7.63;2.86
2014;11;22;8;22;8.54;3.69
2014;11;22;9;24;8.53;4.2
2014;11;22;10;23;8.4;4.42
2014;11;22;11;26;8.64;4.81
2014;11;22;12;25;9.01;4.76
2014;11;22;13;21;8.88;4.55
2014;11;22;14;24;9.12;4.07
2014;11;22;15;25;9.21;4.08
2014;11;22;16;28;8.54;3.68
2014;11;22;17;29;9.95;3.52
2014;11;22;18;30;9.43;3.47
2014;11;22;19;31;9.79;4.1
2014;11;22;20;30;9.92;3.68
2014;11;22;21;29;10.33;3.8
2014;11;22;22;26;9.31;4.53
2014;11;22;23;22;9.91;4.19
2014;11;23;0;21;8.84;5.02
2014;11;23;1;20;9.02;2.2
2014;11;23;2;21;7.35;2.43
2014;11;23;3;18;7.07;2.26
2014;11;23;4;19;9.04;2.74
2014;11;23;5;17;8.39;3.96
2014;11;23;6;18;8.07;3.74
2014;11;23;7;19;8.44;3.49
2014;11;23;8;18;8.55;3.69
2014;11;23;9;20;9.26;3.2
2014;11;23;10;20;9.44;3.2
2014;11;23;11;30;9.64;4.49
2014;11;23;12;30;9.82;4.44
2014;11;23;13;24;9.78;5
2014;11;23;14;28;9.98;5.58
2014;11;23;15;32;9.32;4.71
2014;11;23;16;34;9.17;3.93
2014;11;23;17;33;9.15;4.42
2014;11;23;18;35;9.16;4.9
2014;11;23;19;33;9.5;5.05
2014;11;23;20;31;9.39;4.15
2014;11;23;21;29;8.87;4.52
2014;11;23;22;27;8.69;4.56
2014;11;23;23;27;8.59;3.97
2014;11;24;0;25;7.83;4.27
2014;11;24;1;23;9.31;5.43
2014;11;24;2;23;8.64;5.92
2014;11;24;3;23;7;3.96
2014;11;24;4;22;6.99;4.66
2014;11;24;5;22;10.8;3.93
2014;11;24;6;24;8.44;1.62
2014;11;24;7;28;6.02;1.42
2014;11;24;8;35;6.28;2.24
2014;11;24;9;42;7.29;1.76
2014;11;24;10;37;6.57;2.27
2014;11;24;11;38;8.71;1.27
2014;11;24;12;34;9.18;4.71
2014;11;24;13;31;8.58;3.76
2014;11;24;14;30;6.35;4.7
2014;11;24;15;30;4.9;1.69
2014;11;24;16;37;3.51;0.52
2014;11;24;17;43;5.81;0.57
2014;11;24;18;43;3.1;1.14
2014;11;24;19;41;3.42;0.44
2014;11;24;20;41;4.4;1.43
2014;11;24;21;37;4.74;1.28
2014;11;24;22;36;5.57;2.26
2014;11;24;23;33;6.11;1.68
2014;11;25;0;30;5.43;2.69
2014;11;25;1;28;5.75;1.27
2014;11;25;2;29;4.85;2.18
2014;11;25;3;30;4.71;3.08
2014;11;25;4;31;4.36;2.47
2014;11;25;5;28;7.18;4.16
2014;11;25;6;21;7.51;3.91
2014;11;25;7;17;7.55;5.09
2014;11;25;8;12;6.96;5.47
2014;11;25;9;11;6.7;5.89
2014;11;25;10;23;6.22;5.76
2014;11;25;11;22;6.35;5.5
2014;11;25;12;9;6.24;5.03
2014;11;25;13;12;5.64;4.57
2014;11;25;14;13;5.59;4.16
2014;11;25;15;18;5.89;3.21
2014;11;25;16;25;5.75;3.31
2014;11;25;17;27;5.85;3.84
2014;11;25;18;21;5.51;3.57
2014;11;25;19;14;5.09;3.23
2014;11;25;20;12;5.66;3.4
2014;11;25;21;16;6.17;3.45
2014;11;25;22;19;6.73;3.5
2014;11;25;23;11;6.52;4.23
2014;11;26;0;6;6.82;3.83
2014;11;26;1;6;6.02;4.27
2014;11;26;2;5;5.88;4.67
2014;11;26;3;6;5.05;4.14
2014;11;26;4;5;4.83;3.3
2014;11;26;5;5;5.51;4.54
2014;11;26;6;6;5.93;4.54
2014;11;26;7;9;6.07;5.36
2014;11;26;8;12;6.99;4.68
2014;11;26;9;15;7.62;6.2
2014;11;26;10;16;8.57;7.12
2014;11;26;11;14;7.95;7.74
2014;11;26;12;15;7.24;6.95
2014;11;26;13;15;8.11;6.47
2014;11;26;14;15;8.9;5.84
2014;11;26;15;16;8.61;5.8
2014;11;26;16;17;7.99;7.16
2014;11;26;17;13;8.12;6.64
2014;11;26;18;9;7.67;5.92
2014;11;26;19;13;8.49;6.54
2014;11;26;20;8;7.63;6.66
2014;11;26;21;6;8.19;6.11
2014;11;26;22;7;8.33;6.91
2014;11;26;23;6;8.61;5.88
2014;11;27;0;5;6.65;2.11
2014;11;27;1;10;8.33;6.42
2014;11;27;2;17;8.11;6.4
2014;11;27;3;12;7.56;5.93
2014;11;27;4;12;7.22;4.96
2014;11;27;5;14;8.68;7.51
2014;11;27;6;16;8.78;7.03
2014;11;27;7;17;8.72;7.22
2014;11;27;8;17;8.67;6.92
2014;11;27;9;17;9.02;7.32
2014;11;27;10;22;9.56;8.06
2014;11;27;11;26;8.01;8.97
2014;11;27;12;0;0;0
2014;11;27;13;0;0;0
2014;11;27;14;0;0;0
2014;11;27;15;0;0;0
2014;11;27;16;0;0;0
2014;11;27;17;0;0;0
2014;11;27;18;0;0;0
2014;11;27;19;3;9.48;8.39
2014;11;27;20;7;10.45;8.55
2014;11;27;21;9;10.74;9.45
2014;11;27;22;10;10.89;9.56
2014;11;27;23;11;10.89;9.34
2014;11;28;0;11;10.07;8.8
2014;11;28;1;12;11.63;10.09
2014;11;28;2;9;11.8;10.27
2014;11;28;3;9;12.29;10.91
2014;11;28;4;9;12.4;11.28
2014;11;28;5;11;12.87;11.29
2014;11;28;6;14;13.21;11.44
2014;11;28;7;16;13.38;11.66
2014;11;28;8;17;13.31;11.85
2014;11;28;9;15;13.37;12.85
2014;11;28;10;18;13.39;13.39
2014;11;28;11;19;13.22;13.35
2014;11;28;12;12;13.13;12.8
2014;11;28;13;11;13.06;11.93
2014;11;28;14;13;12.65;11.9
2014;11;28;15;14;12.29;11.68
2014;11;28;16;13;12.53;11.79
2014;11;28;17;14;12.71;11.97
2014;11;28;18;13;12.68;11.53
2014;11;28;19;15;12.39;11.49
2014;11;28;20;17;12.11;11.27
2014;11;28;21;17;12.61;11.02
2014;11;28;22;18;12.59;11.5
2014;11;28;23;19;12.65;11.03
2014;11;29;0;20;11.97;10.62
2014;11;29;1;18;11.6;10.4
2014;11;29;2;19;12.12;10.91
2014;11;29;3;22;12.11;11.3
2014;11;29;4;26;12.68;11.44
2014;11;29;5;29;11.89;10.65
2014;11;29;6;29;11.96;10.62
2014;11;29;7;32;12.37;11.12
2014;11;29;8;35;11.69;10.35
2014;11;29;9;36;11.26;9.79
2014;11;29;10;34;11.69;11.1
2014;11;29;11;40;11.65;10.8
2014;11;29;12;44;11.82;10.75
2014;11;29;13;43;11.63;10.79
2014;11;29;14;41;11.4;10.9
2014;11;29;15;40;11.8;9.82
2014;11;29;16;51;11.79;9.11
2014;11;29;17;51;12.03;9.64
2014;11;29;18;0;0;0
2014;11;29;19;0;0;0
2014;11;29;20;0;0;0
2014;11;29;21;0;0;0
2014;11;29;22;0;0;0
2014;11;29;23;0;0;0
2014;11;30;0;0;0;0
2014;11;30;1;0;0;0
2014;11;30;2;0;0;0
2014;11;30;3;40;12.33;10.44
2014;11;30;4;35;12.24;10.58
2014;11;30;5;33;11.98;11.06
2014;11;30;6;33;11.96;10.38
2014;11;30;7;37;12.03;11.03
2014;11;30;8;35;12.01;11.36
2014;11;30;9;25;11.41;11.1
2014;11;30;10;27;11.28;10.29
2014;11;30;11;46;11.59;10.21
2014;11;30;12;56;11.16;11.85
2014;11;30;13;49;11.09;9.72
2014;11;30;14;61;11.88;10.17
2014;11;30;15;65;10.92;9.23
2014;11;30;16;90;11.34;6.79
2014;11;30;17;124;11.76;3.67
2014;11;30;18;85;11.73;2.96
2014;11;30;19;0;0;0
2014;11;30;20;0;0;0
2014;11;30;21;0;0;0
2014;11;30;22;0;0;0
2014;11;30;23;0;0;0
2014;12;1;0;0;0;0
2014;12;1;1;31;7.5;1.4
2014;12;1;2;34;6.58;0.76
2014;12;1;3;33;6.11;2.25
2014;12;1;4;38;4.78;2.53
2014;12;1;5;32;2.57;1.4
2014;12;1;6;26;2.21;2.41
2014;12;1;7;23;3.09;3.31
2014;12;1;8;19;2.74;3.14
2014;12;1;9;21;3.21;2.58
2014;12;1;10;23;2.94;3.34
2014;12;1;11;15;3.66;4
2014;12;1;12;12;3.45;4.64
2014;12;1;13;8;2.98;4.17
2014;12;1;14;8;2.94;3.9
2014;12;1;15;10;2.63;1.86
2014;12;1;16;20;3.34;1.49
2014;12;1;17;22;4.42;2.3
2014;12;1;18;23;5.97;2.55
2014;12;1;19;24;5.15;2.11
2014;12;1;20;24;5.04;2.19
2014;12;1;21;29;4.93;2.48
2014;12;1;22;30;6.02;2.54
2014;12;1;23;21;5.67;2.94
2014;12;2;0;20;4.45;2.87
2014;12;2;1;17;5.37;2.93
2014;12;2;2;16;4.62;3.44
2014;12;2;3;15;4.66;3.5
2014;12;2;4;16;4.87;2.82
2014;12;2;5;18;5.02;3.85
